run_id,status,batch_size,n_requests,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,8,400,"[4003, 6171, 9237, 8023, 8, 3781, 3819, 1627, 4109, 9009, 7641, 9766, 9680, 957, 593, 688, 9710, 9343, 5863, 4897, 9075, 251, 5671, 6681, 1452, 4762, 6446, 2706, 8328, 6759, 9435, 9584, 464, 2840, 7847, 5796, 8404, 8505, 8566, 9965, 5910, 1003, 5031, 9264, 78, 1245, 5405, 7389, 9070, 7808, 9858, 256, 787, 3072, 4360, 4464, 1592, 2279, 9148, 817, 2824, 1252, 2402, 2138, 603, 9216, 8275, 743, 829, 3997, 1209, 423, 5585, 3713, 846, 5715, 6439, 9133, 5555, 909, 3071, 6133, 9258, 4021, 6806, 5401, 726, 9769, 4310, 307, 1300, 8318, 2212, 6705, 7407, 1539, 9030, 359, 5118, 376, 5676, 1602, 8969, 58, 5961, 7839, 7431, 2240, 1424, 2015, 1348, 3739, 916, 874, 9049, 6812, 4879, 2268, 3226, 4029, 7649, 730, 762, 7892, 9036, 9937, 3505, 962, 7347, 3145, 7825, 9803, 895, 4795, 4614, 9573, 9262, 6005, 1925, 4033, 5964, 1124, 2206, 2336, 4405, 5453, 9959, 9140, 4424, 740, 8862, 2656, 2974, 2958, 525, 6647, 494, 3194, 519, 550, 4090, 658, 6362, 473, 3564, 6252, 4287, 3317, 4717, 1971, 3524, 8630, 1719, 7331, 4500, 5423, 4808, 8553, 4628, 42, 6742, 16, 2259, 7758, 3008, 8092, 2749, 8184, 6401, 8386, 4578, 960, 7097, 5268, 779, 2351, 1861, 7904, 3626, 6066, 3382, 2881, 7951, 2434, 9098, 6641, 4609, 5576, 1489, 1421, 2772, 9196, 6797, 9804, 4260, 7425, 9880, 2666, 6622, 7055, 3189, 4016, 5151, 3303, 1912, 297, 4144, 3687, 6561, 1403, 1506, 1012, 1594, 6597, 7479, 9164, 134, 5011, 1318, 8838, 5152, 5937, 7339, 579, 1508, 4697, 153, 7502, 7759, 4657, 693, 258, 439, 8288, 6304, 5603, 4977, 8692, 7912, 6839, 9287, 2647, 9722, 804, 3326, 2663, 1112, 2347, 8199, 1029, 3982, 3213, 1384, 1110, 2906, 7137, 9794, 1118, 2627, 8355, 8324, 3655, 9173, 4760, 8330, 9372, 5484, 7739, 1805, 912, 3526, 8847, 4569, 2964, 1908, 1888, 1777, 3778, 1864, 6695, 1992, 884, 7089, 9227, 3160, 2585, 5338, 534, 8478, 9857, 3765, 1928, 4750, 7259, 4693, 2056, 4100, 2619, 4179, 1735, 843, 3727, 7812, 5342, 9198, 4252, 155, 8208, 8798, 2125, 1105, 7778, 6607, 1818, 6998, 2016, 7638, 3488, 5605, 3789, 5213, 7415, 8455, 8178, 9462, 56, 6769, 5887, 7701, 9266, 5266, 7657, 9957, 2053, 8432, 1779, 8143, 6213, 6463, 4668, 7260, 6945, 2092, 8155, 888, 3023, 7444, 7477, 708, 5169, 1843, 3865, 8949, 3048, 4119, 8716, 6180, 2381, 9763, 4875, 6317, 6901, 1007, 5257, 1765, 5026, 1858, 183, 3470, 7248, 5339, 9658, 9771, 3410, 4223, 67, 9787, 6992, 8865, 2487]","[1751, 733, 1279, 508, 606, 822, 826, 1714, 1536, 708, 1230, 737, 1673, 1042, 764, 947, 490, 387, 271, 398, 838, 1027, 379, 838, 854, 803, 954, 639, 689, 882, 1340, 802, 495, 993, 523, 846, 1138, 2033, 731, 863, 1401, 1044, 1879, 830, 561, 1109, 884, 656, 793, 422, 442, 1292, 588, 249, 661, 1236, 572, 245, 685, 719, 561, 652, 427, 838, 231, 576, 488, 519, 1314, 1182, 1800, 1052, 649, 964, 690, 887, 346, 2001, 194, 2055, 540, 1292, 723, 1087, 2230, 557, 432, 1178, 499, 736, 634, 619, 798, 300, 936, 408, 874, 819, 775, 1109, 1623, 1464, 1071, 367, 974, 499, 542, 836, 308, 1132, 618, 493, 1073, 316, 402, 1088, 560, 1685, 1240, 961, 1246, 583, 1006, 1563, 399, 1304, 472, 674, 428, 487, 767, 631, 996, 1409, 1817, 306, 755, 852, 550, 151, 586, 886, 529, 631, 245, 636, 733, 514, 340, 285, 868, 751, 1896, 669, 1208, 255, 554, 627, 687, 619, 367, 1059, 524, 1060, 905, 556, 472, 694, 965, 414, 419, 604, 409, 796, 1259, 766, 849, 1468, 729, 448, 877, 1104, 990, 878, 276, 1214, 611, 1110, 592, 707, 906, 1954, 1460, 372, 776, 1077, 865, 241, 699, 355, 558, 1321, 719, 839, 375, 933, 247, 642, 383, 588, 419, 450, 758, 718, 639, 938, 864, 968, 1555, 760, 1005, 1237, 360, 1391, 893, 638, 956, 685, 836, 527, 916, 347, 719, 372, 368, 1251, 1237, 306, 574, 501, 1350, 377, 1529, 2161, 1147, 263, 705, 558, 933, 264, 861, 409, 937, 981, 476, 1028, 604, 875, 196, 733, 1117, 578, 702, 896, 265, 990, 394, 1406, 615, 445, 808, 985, 269, 959, 690, 842, 1728, 523, 286, 1104, 641, 657, 323, 792, 1097, 304, 920, 2084, 757, 958, 733, 698, 615, 1841, 810, 500, 671, 1323, 208, 785, 482, 1573, 490, 600, 942, 747, 1304, 634, 523, 1127, 655, 381, 528, 496, 1578, 885, 405, 471, 454, 1548, 593, 1439, 1646, 740, 507, 959, 1293, 1162, 614, 1485, 1165, 648, 392, 281, 884, 742, 1939, 810, 421, 580, 1707, 633, 889, 470, 585, 573, 418, 1740, 1570, 1137, 287, 609, 1089, 801, 251, 472, 383, 801, 503, 821, 1508, 1143, 718, 709, 1057, 1513, 561, 873, 804, 509, 725, 1957, 1320, 655, 1734, 657, 391, 1013, 2055, 528, 400, 1432, 541, 2182, 693, 539, 338, 1125, 1742, 171, 450, 761, 899, 1101, 1718, 1234, 1259, 416, 785, 798]","[44, 75, 57, 58, 49, 79, 69, 142, 39, 42, 78, 51, 61, 101, 40, 83, 74, 62, 72, 72, 95, 108, 59, 96, 43, 55, 58, 53, 12, 45, 62, 63, 42, 67, 41, 63, 39, 57, 70, 47, 55, 60, 72, 63, 43, 63, 37, 43, 56, 67, 49, 50, 136, 69, 59, 92, 50, 47, 64, 62, 47, 48, 36, 29, 27, 77, 24, 106, 73, 64, 125, 82, 77, 108, 77, 46, 45, 68, 64, 54, 106, 125, 81, 80, 53, 79, 93, 61, 95, 58, 13, 72, 76, 43, 89, 71, 75, 53, 59, 61, 47, 58, 73, 42, 41, 61, 80, 75, 64, 93, 55, 39, 110, 68, 40, 96, 63, 103, 54, 63, 114, 76, 50, 46, 46, 49, 44, 46, 38, 59, 42, 45, 73, 64, 69, 46, 78, 63, 70, 22, 41, 66, 81, 77, 45, 56, 51, 45, 52, 49, 74, 83, 30, 48, 83, 77, 43, 34, 58, 63, 49, 45, 119, 64, 84, 42, 85, 52, 50, 74, 75, 55, 102, 55, 81, 55, 112, 88, 69, 68, 49, 80, 152, 35, 40, 77, 49, 63, 61, 63, 55, 140, 117, 53, 47, 62, 81, 44, 96, 65, 51, 36, 43, 61, 47, 73, 50, 117, 57, 37, 77, 52, 66, 74, 81, 38, 84, 48, 20, 72, 31, 72, 66, 79, 60, 52, 48, 47, 55, 40, 52, 59, 61, 54, 67, 135, 16, 44, 106, 70, 58, 42, 119, 113, 77, 48, 85, 56, 68, 58, 60, 46, 67, 61, 47, 54, 43, 54, 31, 42, 36, 59, 62, 72, 65, 65, 57, 92, 59, 67, 33, 75, 105, 72, 69, 34, 66, 26, 67, 68, 52, 62, 42, 104, 106, 78, 65, 38, 91, 72, 46, 74, 68, 99, 66, 53, 67, 64, 45, 38, 73, 69, 71, 68, 60, 55, 45, 56, 112, 48, 46, 64, 58, 37, 95, 82, 45, 67, 68, 109, 72, 89, 62, 33, 38, 126, 45, 60, 76, 42, 80, 44, 77, 38, 55, 32, 132, 49, 65, 60, 207, 111, 62, 93, 72, 52, 85, 141, 58, 65, 57, 88, 43, 101, 47, 51, 50, 74, 60, 36, 38, 98, 45, 71, 68, 134, 44, 68, 129, 38, 59, 58, 46, 78, 62, 87, 29, 104, 49, 25, 51, 52, 46, 162, 70, 53, 50, 39, 55, 39, 40, 48, 47, 63, 130, 62, 120, 34, 58, 91]",2230,207,207,,35562.041,
